day_of_week,start_time,end_time,location,applicant,latitude,longitude,cold_truck
Sunday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Wednesday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Wednesday,09:00,10:00,420 BERRY ST,Mini Mobile Food Catering,37.7719,-122.3983,Y
Thursday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Friday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Monday,11:00,18:00,4650 MISSION ST,Fruteria Serrano,37.7239,-122.4355,N
Monday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Wednesday,08:00,09:00,2111 LANE ST,Quan Catering,37.7291,-122.3924,Y
Tuesday,09:00,10:00,420 BERRY ST,Mini Mobile Food Catering,37.7719,-122.3983,Y
Thursday,12:00,13:00,432 CLAY ST,"SOHOMEI, LLC",37.795,-122.4007,Y
Thursday,10:00,11:00,898 PENNSYLVANIA AVE,F & C Catering,37.7552,-122.393,Y
Saturday,10:00,20:00,455 MARKET ST,HalalCartSF LLC,37.7913,-122.3987,N
Thursday,12:00,13:00,2890 03RD ST,F & C Catering,37.753,-122.3879,Y
Friday,08:00,12:00,2200 CHESTNUT ST,Eggstasy LLC,37.8005,-122.4395,N
Monday,10:00,18:00,773 MARKET ST,Kettle Corn Star,37.7862,-122.4051,N
Sunday,08:00,12:00,2200 CHESTNUT ST,Eggstasy LLC,37.8005,-122.4395,N
Wednesday,10:00,11:00,701 16TH ST,Mini Mobile Food Catering,37.7666,-122.3927,Y
Saturday,07:00,20:00,3119 ALEMANY BLVD,San Pancho's Tacos,37.7102,-122.4556,N
Tuesday,10:00,18:00,773 MARKET ST,Kettle Corn Star,37.7862,-122.4051,N
Sunday,10:00,23:00,370 DRUMM ST,Wu Wei LLC dba MoBowl,37.797,-122.397,N
Monday,12:00,13:00,85 02ND ST,"SOHOMEI, LLC",37.7882,-122.4,Y
Monday,10:00,15:00,400 MONTGOMERY ST,HalalCartSF LLC,37.7929,-122.4027,N
Thursday,10:00,13:00,491 BAY SHORE BLVD,Mini Mobile Food Catering,37.7396,-122.4069,Y
Wednesday,10:00,16:00,1 MARKET ST,HalalCartSF LLC,37.7944,-122.3947,N
Wednesday,01:00,02:00,1240 MINNESOTA ST,"SOHOMEI, LLC",37.7547,-122.39,Y
Tuesday,10:00,16:00,400 MONTGOMERY ST,HalalCartSF LLC,37.7929,-122.4027,N
Monday,09:00,10:00,599 MASONIC AVE,"SOHOMEI, LLC",37.7758,-122.4465,Y
Thursday,08:00,17:00,1800 MISSION ST,CARDONA'S FOOD TRUCK,37.7682,-122.42,N
Friday,10:00,21:00,1020 03RD ST,Got Snacks,37.7759,-122.3901,N
Tuesday,11:00,12:00,1652 EDDY ST,"SOHOMEI, LLC",37.7812,-122.4349,Y
Wednesday,08:00,17:00,1800 MISSION ST,CARDONA'S FOOD TRUCK,37.7682,-122.42,N
Saturday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Saturday,08:00,17:00,1888 MISSION ST,CARDONA'S FOOD TRUCK,37.7669,-122.4199,N
Tuesday,08:00,17:00,1800 MISSION ST,CARDONA'S FOOD TRUCK,37.7682,-122.42,N
Monday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Friday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Sunday,08:00,17:00,1888 MISSION ST,CARDONA'S FOOD TRUCK,37.7669,-122.4199,N
Wednesday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Thursday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Tuesday,07:00,20:00,531 BAY SHORE BLVD,La Jefa,37.7388,-122.4069,N
Wednesday,10:00,16:00,250 04TH ST,"Off the Grid Services, LLC",37.7825,-122.4019,N
